id_imovel;id_proprietario;nome_proprietario;cpf;endereco;bairro;cidade;data_anuncio;tipo_imovel;metragem;quartos;banheiros;valor;valor_iptu;sistema_origem
1;P003; ANA PEREIRA ;323.338.617-87;Rua W 167;Vila Mariana;Sao Paulo;09-01-2023;casa;165;3;1;729895;1212;Planilha
2;P003;Carla Dias;51025702129;Rua S 50;centro;Sao Paulo;05/01/2023;Loft;150;3;1;689004;3317;Planilha
3;P011;Ana Pereira;350.267.573-58;Rua V 84;Centro;Sao Paulo;2023-01-15;Loft;123m2;3;4;1.790.113,00;5808,00;API
4;P009; CARLOS LIMA ;64045862384;Rua H 36;Itaim;Sao Paulo;2023-01-31;Loft;-;1;2;2393927;4258,00;Planilha
5;P008;Carla Dias;24345944431;Rua N 41;Itaim;Sao Paulo;2023/01/13;casa;-;2;1;1354507;594;API
6;P024;Daniel Moraes;951.926.414-40;Rua C 188;Itaim;Sao Paulo;05/01/2023;apartamento;-;-;4;2524464;4502,00;null
7;P034;JULIANA COSTA;353.330.165-53;Rua S 57;Centro;Sao Paulo;2023-01-28;apartamento;-;1;1;1143688;5823;API
8;P031;Carlos Lima;59095990995;Rua N 120;Centro;SAO PAULO;2023-01-09;Apartamento;-;4;3;854956;5220;CRM
9;P036; FERNANDA ALVES ;767.653.956-11;Rua F 105;Itaim;São Paulo;18/01/2023;Loft;111m2;4;1;1.069.604,00;1117;Planilha
10;P032; RODRIGO MENDES ;403.322.159-84;Rua X 81;Centro;Sao Paulo;13-01-2023;casa;272m2;5;2;2074221;5052;CRM
11;P039; DANIEL MORAES ;81147107891;Rua I 53;Jardins;Sao Paulo;2023/01/06;Casa;-;2;3;1286516;5166,00;
12;P033; Lucas Martins ;32698848018;Rua R 181;Pinheiros;SAO PAULO;2023-01-30;Cobertura;44m2;5;3;2905330;1100;CRM
13;P017;PEDRO SANTOS;68558805795;Rua B 1;Jardins;Sao Paulo;2023/01/29;apartamento;119m2;-;4;1481771;2167;null
14;P003;Carla Dias;57686135491;Rua T 192;Moema;Sao Paulo;04/01/2023;Loft;-;2;4;451112;1713;CRM
15;P015; Juliana Costa ;571.458.412-39;Rua M 85;Pinheiros;Sao Paulo;2023/01/11;Apto;167m2;-;4;967.724,00;817;null
16;P021;Lucas Martins;623.218.494-83;Rua W 112;Centro;SAO PAULO;04/01/2023;Apto;-;4;1;-1413446;5387;API
17;P013;Gabriela Lima;89953027759;Rua M 141;Centro;São Paulo;2023/01/28;apartamento;-;4;3;1597233;2922;
18;P016;Marcos Oliveira;330.925.303-28;Rua P 157;centro;São Paulo;07-01-2023;Cobertura;-;5;2;655658;5572;
19;P036; Helena Prado ;73571600239;Rua Y 114;Vila Mariana;SAO PAULO;05-01-2023;apartamento;94m2;-;4;-1217886;4743;
20;P022;Bruno Rocha;653.182.241-29;Rua W 55;centro;São Paulo;27-01-2023;Apto;-;5;4;1.303.469,00;2840,00;
21;P027;MARIA SOUZA;43920841446;Rua H 70;Vila Mariana;São Paulo;2023-01-14;Casa;-;3;4;1895433;2946;Planilha
22;P030; Marcos Oliveira ;54902591705;Rua Y 98;Pinheiros;São Paulo;2023/01/20;Loft;-;1;4;2.667.231,00;4011,00;CRM
23;P013;CAMILA FREITAS;736.256.344-26;Rua O 180;Pinheiros;São Paulo;31/01/2023;casa;-;5;1;587806;754;Planilha
24;P020;PATRICIA GOMES;17656360518;Rua R 110;Jardins;Sao Paulo;2023/01/01;Apartamento;232m2;4;4;-1131855;5638,00;CRM
25;P035;Carla Dias;576.546.945-85;Rua C 72;Itaim;Sao Paulo;21-01-2023;casa;118m2;5;4;1038771;2712;API
26;P018;João Almeida;68927271989;Rua R 195;Moema ;SAO PAULO;11-01-2023;Cobertura;133;-;4;1788243;5383;
27;P036;JOÃO ALMEIDA;819.564.377-49;Rua X 50;Jardins;Sao Paulo;08/01/2023;apartamento;164m2;2;4;2739220;3316;API
28;P009; Rafael Nunes ;31234703205;Rua D 4;Pinheiros;São Paulo;17-01-2023;Casa;184;3;2;1.542.547,00;615;CRM
29;P010; Bruno Rocha ;83523189616;Rua T 153;Moema ;SAO PAULO;16-01-2023;Casa;73m2;4;3;-2362534;5656;null
30;P036; Carla Dias ;76974909090;Rua B 60;Pinheiros;SAO PAULO;2023/01/20;Cobertura;70;4;1;2923600;1786,00;Planilha
