marca_id;modelo_id;ano_modelo;data_venda;valor_venda;taxa_servico;valor_total;km_rodados;placa;cliente;cpf;estado
21;4828;2010-06;;45990.0;900.0;46890.0;98000;DEF4K56;Maria Souza;98765432100;XX
23;1043;2020-01;20/03/2025;73500.0;1000.0;74500.0;65000;GHI7L89;Carlos Pereira;74185296311;RJ
23;6831;2020-01;;73500.0;1000.0;74400.0;65000;GHI7L89;Carlos Pereira;74185296311;SP
22;9120;2019-03;05/04/2025;52300.0;850.0;53150.0;42000;JKL2P45;Ana Lima;15975348622;SP
22;9120;2019-03;05/04/2025;5230000.0;85000.0;5315000.0;42000;JKL2P45;Ana Lima;15975348622;RJ
22;9120;2019-03;04/05/2025;52300.0;850.0;53150.0;42000;JKL2P45;Ana Lima;15975348622;ZZ
44;7710;2017-01;11/05/2025;39900.0;700.0;40600.0;87000;MNO9T12;Paulo Mendes;32165498733;SP
44;XXXX;2017-01;11/05/2025;39900.0;700.0;40600.0;87000;NAN;Marcos Mendes;32165498733;SP
44;7710;2017-01;05/11/2025;39900.0;700.0;40600.0;87000;MNO9T12;Paulo Mendes;32165498733;RJ
21;5940;2014-01;10/01/2025;88629.0;1200.0;89829.0;120000;XYZ1A11;Lucas Prado;45612378944;SP
59;7710;2017-01;11/02/2025;39900.0;700.0;40600.0;87000;XYZ2B22;Marcos Dias;45612378944;XX
44;9120;2019-03;15/03/2025;52300.0;850.0;53150.0;42000;XYZ3C33;Renata Farias;45612378944;RJ
23;4828;2010-05;15/03/2025;45990.0;900.0;47000.0;98000;XYZ4D44;Julio Castro;85274196355;SP
22;6831;2020-01;;73500.0;1000.0;74500.0;65000;XYZ5E55;Paula Teixeira;85274196355;ZZ
59;5940;2014-01;02/06/2025;88629.0;1200.0;89829.0;120000;PQR5S67;Juliana Costa;95135725866;SP
59;5940;2014-01;02/06/2025;8862900.0;120000.0;8982900.0;120000;NAN;Juliana Costa;95135725866;RJ
59;5940;2014-01;06/02/2025;88.629;1200.0;89829.0;120000;PQS5S67;Paulo Costa;95135725866;SP
23;6831;2020-01;01/08/2025;73500.0;1000.0;74500.0;65000;VWX3Y21;Fernanda Rocha;65498732188;SP
23;6831;2020-01;01/08/2025;73500.0;1000.0;74500.0;65000;VWX3Y21;Fernanda Rocha;65498732188;RJ
23;6831;2020-01;08/01/2025;73500.0;1000.0;74500.0;65000;VWX3Y21;Fernanda Rocha;65498732188;ZZ
22;9120;2019-03;14/09/2025;52300.0;850.0;53150.0;42000;YZA6B43;Lucas Teixeira;25836914799;SP
22;9120;2019-03;14/09/2025;5230000.0;85000.0;5315000.0;42000;YZA6B43;Lucas Teixeira;25836914799;RJ
22;9120;2019-03;;52300.0;850.0;53150.0;42000;YZA6B43;Lucas Teixeira;25836914799;SP
44;7710;2017-01;03/10/2025;39900.0;700.0;40600.0;87000;BCD4E65;Patricia Nunes;36925814710;RJ
44;7710;2017-01;03/10/2025;39900.0;700.0;40600.0;87000;BCD4E65;Patricia Nunes;36925814710;SP
44;7710;2017-01;10/03/2025;39900.0;700.0;40600.0;87000;BCD4E65;Patricia Nunes;36925814710;XX
;5940;2014-01;20/11/2025;88629.0;1200.0;89829.0;120000;EFG7H89;Andre Martins;14725836921;SP
59;;2014-01;20/11/2025;8862900.0;120000.0;8982900.0;120000;EFG7H89;Andre Martins;14725836921;RJ
59;5940;;;88.629;1200.0;89829.0;120000;EFG7H89;Andre Martins;14725836921;ZZ
21;4828;2018-02;01/12/2025;45990.0;900.0;46890.0;98000;NAN;Bruna Carvalho;78945612355;SP
XX;6831;2020-01;01/12/2025;73500.0;1000.0;74500.0;65000;HIJ1K23;Bruna Carvalho;78945612355;RJ
22;9120;2019-03;12/01/2025;52300.0;850.0;53150.0;42000;HIJ1K23; Bruna Carvalho ;78945612355;XX
23;1043;2020-01;20/03/2025;73500.0;1000.0;74500.0;65000;GHI7L89;Carlos Pereira;74185296311;RJ
23;1043;2020-01;21/03/2025;73500.0;1000.0;74500.0;65000;GHI7L89;Carlos Souza;74185296311;RJ
44;7710;2017-01;11/05/2025;39900.0;700.0;40600.0;87000;MNO9T12;Paulo Mendes;32165498733;SP
44;7710;2017-01;12/05/2025;39900.0;700.0;40600.0;87000;MNO9T12;Pedro Mendes;32165498733;SP
22;9120;2019-03;05/04/2025;52300.0;850.0;53150.0;42000;JKL2P45;Ana Lima;15975348622;SP
21;4828;2018-02;16/02/2025;45990.0;900.0;46890.0;98000;DEF4K56;Maria Oliveira;98765432100;RJ
59;5940;2014-01;07/02/2025;88.629;1200.0;89829.0;120000;PQR5S67;Juliana Prado;95135725866;SP
