marca_id;modelo_id;ano_modelo;data_venda;valor_venda;taxa_servico;valor_total;km_rodados;placa;cliente;cpf;estado;preco_fipe;marca;lucro
59;5940;2011-03;10/01/2025;88629.0;1200.0;89829.0;120000;ABC1D23;Gustavo Telles;12345678909;SP;72434.0;VW - VolksWagen;-16195.0
59;5940;2021-03;10/01/2025;8862900.0;120000.0;8982900.0;120000;ABC1D23;Joao Silva;12345678909;SP;149786.0;VW - VolksWagen;-8713114.0
59;5940;2020-03;01/10/2025;88.629;1200.0;89829.0;120000;ABC1D23;Joao Alberto Silva;12345678910;RJ;141217.0;VW - VolksWagen;141128.371
21;4828;2010-05;15/02/2025;45990.0;900.0;46890.0;98000;DEF4K56;Maria Souza Franco;98765432100;SP;25693.0;Fiat;-20297.0
21;4828;2010-05;15/02/2025;45990.0;900.0;46890.0;98000;DEF4K56;Maria Augusta Souza;98765432100;SP;25693.0;Fiat;-20297.0
21;4828;2010-06;;45990.0;900.0;46890.0;98000;DEF4K56;Maria Souza;98765432100;XX;16875.0;GM - Chevrolet;-29115.0
23;1043;2020-01;20/03/2025;73500.0;1000.0;74500.0;65000;GHI7L89;Carlos Pereira;74185296311;RJ;25693.0;Fiat;-47807.0
23;1044;2003-01;20/03/2025;73500.0;1000.0;74500.0;65000;GHI7L89;Carlos Pereira;74185296311;RJ;25693.0;Fiat;-47807.0
23;6831;2020-01;;73500.0;1000.0;74400.0;65000;GHI7L89;Carlos Pereira;74185296311;SP;72434.0;VW - VolksWagen;-1066.0
22;9120;2019-03;05/04/2025;52300.0;850.0;53150.0;42000;JKL2P45;Ana Lima;15975348622;SP;149786.0;VW - VolksWagen;97486.0
