registro_id;marca_id;modelo_id;ano_modelo;data_venda;valor_venda;taxa_servico;valor_total;km_rodados;placa;cliente;cpf;estado
1;59;5940; 2011-3  ;2025-01-10;R$ 88.629,00;1.200,00;89.829,00;120000;ABC1D23;Joao Silva;123.456.789-09;SP
2;59;5940;2021-3;10/01/2025;88629.00;1200.00;89829.00;120.000;ABC1D23;JOAO SILVA;12345678909;SP
3;59;5940;2020-3;01-10-2025;88,629.00;1.200,00;89.829,00;120000km;ABC1D23;joao alberto silva;123-456-789-10;RJ
4;21;4828;2010-5;2025/02/15;R$45.990,00;900,00;46.890,00;98000;DEF-4K56;Maria Souza Franco;987.654.321-00;SP
5;21;4828;2010-5;15/02/2025;45990;900;46890;98.000;DEF4K56;maria augusta souza;98765432100;SP
6;21;4828;2010-6;02-15-2025;R$45990,00;900,00;46890,00;98-000;DEF4K56;MARIA SOUZA;987-654-321-00;XX
7;23;1043;2020-1;2025-03-20;73.500,00;1.000,00;74.500,00;65000;GHI-7L89;Carlos Pereira;741.852.963-11;RJ
8;23;1044;2003-1;20/03/2025;73500;1000;74500;65.000;GHI7L89;carlos pereira;74185296311;RJ
9;23;6831;2020-1;03-20-2025;R$ 73.500,00;1000,00;74.400,00;65000km;GHI7L89;CARLOS PEREIRA;741-852-963-11;SP
10;22;9120;2019-3;2025-04-05;52.300,00;850,00;53.150,00;42000;JKL-2P45;Ana Lima;159.753.486-22;SP
11;22;9120;2019-3;05/04/2025;52300.00;850.00;53150.00;42.000;JKL2P45;ana lima;15975348622;RJ
12;22;9120; 2019-3 ;04-05-2025;R$52300,00;850;53150;42000km;JKL2P45;ANA LIMA;159-753-486-22;ZZ
13;44;7710; 2017-1 ;2025-05-11;39.900,00;700,00;40.600,00;87000;MNO9T12;Paulo Mendes;321.654.987-33;SP
14;44;XXXX;2017-1;11/05/2025;39900;700;40600;87.000;;MARCOS MENDES;32165498733;SP
15;44;7710;2017-1;05-11-2025;R$ 39.900,00;700,00;40.600,00;87000km;MNO9T12;paulo mendes;321-654-987-33;RJ
16;21;5940;2014-1;2025-01-10;R$ 88.629,00;1.200,00;89.829,00;120000;XYZ1A11;Lucas Prado;456.123.789-44;SP
17;59;7710;2017-1;2025-02-11;39900;700;40600;87000;XYZ-2B22;Marcos Dias;45612378944;XX
18;44;9120;2019-3;2025/03/15;52.300,00;850,00;53.150,00;42000;XYZ3C33;Renata Farias;456-123-789-44;RJ
19;23;4828;2010-5;15/03/2025;45990;900;47000;98/000;XYZ4D44;Julio Castro;852.741.963-55;SP
20;22;6831;2020-1;03-20-2025;73500;1000;74500;65000km;XYZ5E55;Paula Teixeira;85274196355;ZZ
21;59;5940;2014-1;2025-06-02;R$ 88.629,00;1.200,00;89.829,00;120000;PQR5S67;Juliana Costa;951.357.258-66;SP
22;59;5940;2014-1;02/06/2025;88629.00;1200.00;89829.00;120.000;;juliana costa;95135725866;RJ
23;59;5940;2014-1;06-02-2025;88,629.00;1.200,00;89.829,00;120000km;PQS5S67;PAULO COSTA;951-357-258-66;SP
24;21;4828;2010-5;2025-07-10;R$45.990,00;900,00;46.890,00;98000;STU8V90;Ricardo Alves;753.159.852-77;RJ
25;21;4828;2010-5;10/07/2025;45990;900;46890;98.000;STW8V90;marcos alves;;SP
26;21;4828;2010-5;07-10-2025;R$45990,00;900,00;46890,00;98000km;STU8V90;RICARDO ALVES;753-159-852-77;XX
27;23;6831;2020-1;2025-08-01;73.500,00;1.000,00;74.500,00;65000;VWX3Y21;Fernanda Rocha;654.987.321-88;SP
28;23;6831;2020-1;01/08/2025;73500;1000;74500;65.000;VWX3Y21;fernanda rocha;65498732188;RJ
29;23;6831;2020-1;08-01-2025;R$ 73.500,00;1000,00;74.500,00;65000km;VWX3Y21;FERNANDA ROCHA;654-987-321-88;ZZ
30;22;9120;2019-3;2025-09-14;52.300,00;850,00;53.150,00;42000;YZA-6B43;Lucas Teixeira;258.369.147-99;SP
31;22;9120;2019-3;14/09/2025;52300.00;850.00;53150.00;42.000;YZA6B43;lucas teixeira;25836914799;RJ
32;22;9120;2019-3;09-14-2025;R$52300,00;850;53150;42000km;YZA6B43;LUCAS TEIXEIRA;258-369-147-99;SP
33;44;7710;2017-1;2025-10-03;39.900,00;700,00;40.600,00;87000;BCD-4E65;Patricia Nunes;369.258.147-10;RJ
34;44;7710;2017-1;03/10/2025;39900;700;40600;87.000;BCD4E65;patricia nunes;36925814710;SP
